RegionID,State,City,CountyName,MeanValue
84534,IL,Bolingbrook,Will County,425563.7504419359
99058,OR,The Dalles,Wasco County,376410.7680234401
89796,AR,Fort Smith,Sebastian County,117540.90947959335
60847,NJ,Rockaway,Morris County,489260.6335146692
78027,IN,Indianapolis,Marion County,166310.00252447533
81136,WI,Brookfield,Waukesha County,426752.01584004547
91705,TX,Houston,Harris County,984276.3198484877
97375,CA,Kerman,Fresno County,384182.2160407106
72642,FL,Boca Raton,Palm Beach County,804281.6577844797
62424,NY,Rensselaer,Rensselaer County,270254.65875860944
79507,MI,Battle Creek,Calhoun County,184577.4332453447
59896,VT,Essex,Chittenden County,493200.94994185976
71162,GA,Blairsville,Union County,360495.8568178501
78986,MI,Brighton,Livingston County,430826.85262863594
96756,CA,Imperial,Imperial County,375782.58533525903
79871,MI,Traverse City,Grand Traverse County,439928.13941622764
73332,AL,Pelham,Shelby County,322470.38355211826
84483,IL,Joliet,Will County,158866.32558890132
69382,NC,Apex,Wake County,713318.9356925604
84194,MT,Missoula,Missoula County,546972.7619196532
90927,TX,Paris,Lamar County,124576.38587036815
74496,TN,Newport,Cocke County,196181.98588380893
70348,SC,West Columbia,Lexington County,214436.8174660518
76890,OH,East Liverpool,Columbiana County,97198.20710230565
58648,MA,Boston,Suffolk County,895234.1245727713
92616,TX,Austin,Travis County,1646259.664484673
74390,TN,Johnson City,Washington County,328063.3981279456
88613,LA,Slidell,Saint Tammany Parish,196058.1993537772
94873,AZ,Tempe,Maricopa County,697845.6430425679
96981,CA,Newport Beach,Orange County,3182948.490458829
71217,GA,Toccoa,Stephens County,200004.3339073159
77132,OH,Green,Summit County,216861.74287497325
84277,IL,Rolling Meadows,Cook County,316823.02497286134
64909,PA,Palmyra,Lebanon County,306097.69142520503
82551,MN,Albert Lea,Freeborn County,160475.58039752347
72440,FL,Miami,Miami-Dade County,1211413.3684493362
66806,MD,Westminster,Carroll County,434138.83272848435
84829,IL,Loves Park,Winnebago County,171287.6731240223
82158,MN,Minnetonka,Hennepin County,492368.54877055046
61150,NJ,Bayville,Ocean County,461975.7277
91686,TX,Houston,Harris County,199554.79574665832
93117,TX,El Paso,El Paso County,136059.21199946917
69292,NC,Pittsboro,Chatham County,556089.4099
72862,FL,Lake Placid,Highlands County,269311.3411753288
80291,IA,Des Moines,Polk County,251614.94735573957
99790,WA,Tacoma,Pierce County,409794.1490124839
81373,WI,Janesville,Rock County,241381.00497244686
96632,CA,Valley Center,San Diego County,896130.5915
86310,MO,Lees Summit,Jackson County,275453.9780426256
79671,MI,Ada,Kent County,548772.8844234425
69403,NC,Lillington,Harnett County,273332.4717651393
77542,OH,Cincinnati,Hamilton County,212395.93574213455
96736,CA,Blythe,Riverside County,222407.27238934915
79787,MI,Kentwood,Kent County,341694.6278041861
58959,RI,South Kingstown,Washington County,626316.6296956008
77408,OH,Harrison,Hamilton County,309131.0919342626
96321,CA,Glendale,Los Angeles County,1349418.8927301553
74077,AL,Phenix City,Russell County,147518.2041354325
97978,CA,San Jose,Santa Clara County,966799.9787473027
58366,MA,Gardner,Worcester County,341919.55983591726
85678,IL,Centralia,Marion County,82821.72478737177
60883,NJ,Morris Plains,Morris County,647682.2205495802
99038,OR,Lake Oswego,Clackamas County,1155647.1313371148
95160,AZ,Prescott,Yavapai County,707471.2264484706
79125,MI,Sterling Heights,Macomb County,385376.1587141377
73240,FL,Okeechobee,Okeechobee County,269568.34386228694
96880,CA,Riverside,Riverside County,532560.6642310981
81206,WI,West Bend,Washington County,329045.2458844359
78954,MI,Saint Clair Shores,Macomb County,210126.88228935748
399549,PA,York,York County,269095.2454318635
72572,FL,West Palm Beach,Palm Beach County,561280.3843301517
77503,OH,Norwood,Hamilton County,230831.3068083123
65724,PA,Jenkintown,Montgomery County,497328.3236
77064,OH,Aurora,Portage County,392237.00599129434
75326,MS,Gulfport,Harrison County,100738.75458128517
81125,IA,Davenport,Scott County,153655.3027530982
63471,NY,Buffalo,Erie County,251760.87652207748
60655,NJ,Elmwood Park,Bergen County,526867.3022915252
58433,MA,Westborough,Worcester County,750766.7660524915
63315,NY,Oneonta,Otsego County,201432.74673227573
71718,GA,Columbus,Muscogee County,112981.58482122999
91278,TX,Fort Worth,Tarrant County,285523.2461578741
74004,AL,Selma,Dallas County,80894.05946756132
77048,OH,Strongsville,Cuyahoga County,333204.5007947006
62180,NY,New York,Queens County,577460.8032250797
73057,FL,Sarasota,Sarasota County,666185.9052482232
85229,IL,Charleston,Coles County,133641.35316474564
65629,PA,Chalfont,Bucks County,547827.4081541501
82088,MN,Inver Grove Heights,Dakota County,318735.27042123483
66833,MD,Baltimore,Baltimore City,51957.99017588255
84805,IL,Roscoe,Winnebago County,263774.4802000675
99493,WA,Bellevue,King County,1660284.093785005
61866,NY,Cortlandt Manor,Westchester County,557159.4454
61155,NJ,Forked River,Ocean County,442954.50483543193
90301,OK,Tulsa,Tulsa County,163665.87432832998
81304,WI,Milwaukee,Milwaukee County,245498.42066742867
62242,NY,Northport,Suffolk County,847883.1576933521
87876,NE,Omaha,Douglas County,426582.4628
93280,CO,Denver,Denver County,582788.6144169718
70149,NC,Arden,Buncombe County,437073.4043071093
78205,IN,South Bend,Saint Joseph County,112985.01525111728
91676,TX,Houston,Harris County,998363.0937200085
60165,CT,Hartford,Hartford County,212398.95774531408
98913,HI,Pahoa,Hawaii County,275194.2750019781
72922,FL,Labelle,Hendry County,288383.17303980415
70555,SC,Little River,Horry County,346835.2219930644
89007,LA,West Monroe,Ouachita Parish,133604.71643643928
58448,MA,Worcester,Worcester County,548842.3312873378
84308,IL,Lake Forest,Lake County,1009084.4949999163
72600,FL,Boca Raton,Palm Beach County,713768.0827
91844,TX,Cleveland,San Jacinto County,249062.597
79510,MI,Battle Creek,Calhoun County,173192.09866130725
68716,WV,Huntington,Cabell County,122825.27658833278
399594,MI,Battle Creek,Calhoun County,106763.14097994356
63480,NY,Buffalo,Erie County,234054.48512877905
81479,WI,Baraboo,Sauk County,275582.1926474696
74075,AL,Phenix City,Russell County,162049.58422705389
89934,OK,Oklahoma City,Oklahoma County,103953.85718661947
73845,AL,Ozark,Dale County,139529.32128694849
99634,WA,Anacortes,Skagit County,704454.1101900543
68010,VA,Radford,Radford City,243530.27863746983
87788,KS,Liberal,Seward County,134575.34720505532
82260,MN,Minneapolis,Hennepin County,553858.7948107064
76580,OH,Columbus,Franklin County,495097.0233235367
65049,PA,Red Lion,York County,262965.53255566675
58231,MA,Ludlow,Hampden County,328503.45073310594
85928,MO,Saint Louis,Saint Louis City,295355.9570858698
71785,FL,Yulee,Nassau County,357387.8436187859
77819,OH,Lima,Allen County,120771.58481847738
62207,NY,Copiague,Suffolk County,499564.0653193517
90720,TX,Kaufman,Kaufman County,281829.8198424874
95239,NM,Belen,Valencia County,244017.47082377295
71195,GA,Braselton,Barrow County,477716.31920884555
81208,WI,Mequon,Ozaukee County,552969.2691
93299,CO,Denver,Denver County,464677.06887037936
86304,MO,Independence,Jackson County,210005.5181289826
91232,TX,Springtown,Parker County,382617.8496937062
95094,AZ,Show Low,Navajo County,409902.77674291865
95911,NV,Sun Valley,Washoe County,401697.48828837654
88803,LA,Walker,Livingston Parish,236414.55952172715
71273,GA,Watkinsville,Oconee County,467887.48328020866
73187,FL,Minneola,Lake County,448066.39071450353
87874,NE,Omaha,Douglas County,258337.30771615938
66812,MD,Baltimore,Baltimore City,198185.39013729282
78955,MI,Saint Clair Shores,Macomb County,223073.35537236588
92645,TX,Lakeway,Travis County,705260.8411106179
80631,IA,Sioux City,Woodbury County,206290.08276858568
66020,PA,Reading,Berks County,242905.53110071513
71922,FL,Tallahassee,Leon County,318062.9710765322
70109,NC,North Wilkesboro,Wilkes County,199136.0785723468
92072,TX,Orange,Orange County,205172.5645692727
73898,AL,Bay Minette,Baldwin County,211459.39936753162
97109,CA,Port Hueneme,Ventura County,627955.5797119391
69037,WV,Morgantown,Monongalia County,205179.1750575382
70415,SC,Gaffney,Cherokee County,131775.9302301428
79003,MI,Flat Rock,Wayne County,286180.76049696974
86290,MO,Grain Valley,Jackson County,325853.87525580847
77536,OH,Cincinnati,Clermont County,308142.4693
74517,TN,Rogersville,Hawkins County,204897.09337653802
94992,AZ,Douglas,Cochise County,149682.00895608045
97194,CA,Shafter,Kern County,340195.7576517432
76768,OH,Toledo,Lucas County,56845.484052663145
77256,OH,Louisville,Stark County,214736.63437662247
97785,CA,San Leandro,Alameda County,864939.3958277906
96650,CA,San Diego,San Diego County,816529.0823985827
73645,AL,Albertville,Marshall County,181547.03175587117
87500,KS,Wichita,Sedgwick County,341699.48682119604
69679,NC,Denver,Lincoln County,535215.9215516588
62948,NY,Liverpool,Onondaga County,217092.75342987213
84651,IL,Chicago,Cook County,437821.28725691297
77718,OH,Ironton,Lawrence County,107286.75670348814
96049,CA,Los Angeles,Los Angeles County,1842517.935204274
62097,NY,New York,Queens County,643329.8142
80906,IA,Coralville,Johnson County,308634.0227311117
77528,OH,Cincinnati,Hamilton County,177156.90048872237
86040,MO,Hannibal,Marion County,142001.88253077492
72230,FL,Orlando,Orange County,494950.1576054295
99413,OR,Prineville,Crook County,404145.87434794015
60768,NJ,Wall,Monmouth County,770395.7046125036
81735,WI,Rhinelander,Oneida County,223599.6716818428
91182,TX,Aledo,Parker County,523446.76028055587
91358,TX,Wichita Falls,Wichita County,231737.9851715142
71377,GA,Eatonton,Putnam County,387123.4479506751
75354,MS,Vancleave,Jackson County,254870.28633675908
64967,PA,Greencastle,Franklin County,293779.81663094315
66276,VA,Reston,Fairfax County,601074.5273811965
100234,AK,Anchorage,Anchorage Borough,577764.3157008518
99799,WA,Tacoma,Pierce County,638507.6326136679
90789,TX,Dallas,Dallas County,274964.1629284247
77218,OH,Poland,Mahoning County,203448.8918028262
61891,NY,White Plains,Westchester County,916656.5781228129
68720,WV,Huntington,Cabell County,143492.02455659636
75632,KY,Harrodsburg,Mercer County,195283.38337142245
97079,CA,Yorba Linda,Orange County,1388697.7854869256
86082,MO,Kirksville,Adair County,163951.07807626066
61020,NJ,Pleasantville,Atlantic County,207004.8108
71566,GA,Kingsland,Camden County,276704.8604341287
99673,WA,Lynden,Whatcom County,596571.4980621435
81428,WI,Madison,Dane County,345120.4028010029
74963,MS,Greenville,Washington County,70352.35354862847
81262,WI,South Milwaukee,Milwaukee County,258960.77517894178
86739,MO,Fulton,Callaway County,204853.27115147945
65513,PA,Scranton,Lackawanna County,149549.75483367802
96050,CA,West Hollywood,Los Angeles County,2919062.9063110575
92320,TX,San Antonio,Bexar County,198012.2891754974
88210,NE,Kearney,Buffalo County,309217.82158245356
72598,FL,Boca Raton,Palm Beach County,1611378.0265601275
79495,MI,Portage,Kalamazoo County,249999.0773
85929,MO,Saint Louis,Saint Louis City,111234.87112853832
68918,WV,Buckhannon,Upshur County,153162.43330957324
71361,GA,Byron,Peach County,247061.85956985163
98449,CA,Sacramento,Sacramento County,444128.67662092275
86367,MO,Kansas City,Jackson County,88622.32529795515
88040,NE,Lincoln,Lancaster County,236970.96061792946
65514,PA,Scranton,Lackawanna County,150840.7309
76966,OH,Lorain,Lorain County,212231.3405859278
76571,OH,Columbus,Franklin County,329600.32272978034
77031,OH,Independence,Cuyahoga County,276692.2192766345
97837,CA,Berkeley,Alameda County,1288651.331410222
60911,NJ,Browns Mills,Burlington County,274393.9480598281
99528,WA,Mountlake Terrace,Snohomish County,663710.1576214874
69971,NC,Southport,Brunswick County,533115.0141341322
94393,UT,Farmington,Davis County,633886.2608427359
88623,LA,Mandeville,Saint Tammany Parish,414066.50262792193
96648,CA,San Diego,San Diego County,1790429.6829689418
68187,VA,Bedford,Bedford County,245380.25101298164
74234,TN,Nashville,Davidson County,767334.4401
78971,MI,Troy,Oakland County,538336.4859310616
73618,AL,Huntsville,Madison County,157681.6062293623
399573,FL,Boynton Beach,Palm Beach County,511335.05091456725
84471,IL,Dolton,Cook County,143416.93727991285
79179,MI,Wixom,Oakland County,378466.4231640194
70416,SC,Gaffney,Cherokee County,202595.07021928785
99965,WA,Vancouver,Clark County,574168.3292127155
72814,FL,Largo,Pinellas County,461630.57395993633
69857,NC,Carthage,Moore County,400622.3097378337
70083,NC,Granite Falls,Caldwell County,225707.7347000096
69333,NC,Greensboro,Guilford County,232882.57481809892
76766,OH,Toledo,Lucas County,62144.51090034741
89954,OK,Oklahoma City,Oklahoma County,84732.70339
65695,PA,Aston,Delaware County,337613.58956929017
79137,MI,Waterford,Oakland County,265177.90866281296
88692,LA,Ville Platte,Evangeline Parish,116230.04735836449
89469,AR,Blytheville,Mississippi County,78764.77286
78760,IN,Terre Haute,Vigo County,156563.4667916002
70396,SC,Spartanburg,Spartanburg County,242339.0542081975
63936,PA,Crafton,Allegheny County,197802.40843988047
62399,NY,Latham,Albany County,351947.7757371515
82087,MN,South Saint Paul,Dakota County,282118.74829126947
60471,CT,New Canaan,Fairfield County,1925860.3620829803
89443,AR,Little Rock,Pulaski County,216371.25178999282
95517,NM,Anthony,Dona Ana County,220455.0907072007
58612,MA,Walpole,Norfolk County,732033.9788966355
81988,WI,Fond du Lac,Fond du Lac County,308985.1928736053
82170,MN,Chanhassen,Carver County,500788.10064739245
91225,TX,Mineral Wells,Palo Pinto County,186852.95933939554
67752,VA,Norfolk,Norfolk City,367207.5855140013
87022,MO,Springfield,Greene County,322066.4323528786
73238,FL,Okeechobee,Okeechobee County,258655.7529
74869,TN,Crossville,Cumberland County,261806.47561100926
97063,CA,Orange,Orange County,966715.1051964151
65745,PA,Newtown Square,Delaware County,686487.4915661154
60850,NJ,Sparta Township,Sussex County,549286.2712335367
76775,OH,Oregon,Lucas County,200321.4126234641
84832,IL,Machesney Park,Winnebago County,168154.06498617888
96215,CA,Lakewood,Los Angeles County,753908.4509330053
80210,IA,Newton,Jasper County,176789.1999
98006,CA,,Santa Clara County,1911859.0337582368
70625,SC,Fountain Inn,Greenville County,282610.8808446159
60124,CT,Rocky Hill,Hartford County,412461.2473
95957,NV,Carson City,Carson City,423224.9228500356
58919,RI,East Greenwich,Kent County,677824.2363333155
63386,NY,East Amherst,Erie County,469641.31969215185
88705,LA,Lake Charles,Calcasieu Parish,260436.4158492618
75495,KY,Mount Washington,Bullitt County,287139.0954434628
66766,MD,Havre de Grace,Harford County,383411.2598820462
84498,IL,Minooka,Kendall County,333827.03117961995
96824,CA,Hesperia,San Bernardino County,484188.43562982214
58541,MA,Lynn,Essex County,558628.4891743212
100219,WA,Clarkston,Asotin County,301778.82469410036
73477,AL,Northport,Tuscaloosa County,254611.23923493302
85955,MO,Bellefontaine Neighbors,Saint Louis County,81136.03106008045
70425,SC,Laurens,Laurens County,147729.76194071068
58654,MA,Cambridge,Middlesex County,1476956.4087587039
62262,NY,Stony Brook,Suffolk County,684370.4234386581
90875,TX,Greenville,Hunt County,190551.7270961814
93482,CO,Evans,Weld County,388933.9115115747
399584,FL,Lehigh Acres,Lee County,318701.2451
78063,IN,Indianapolis,Marion County,332547.6968859403
93371,CO,Golden,Jefferson County,851296.0913503943
94943,AZ,Yuma,Yuma County,332942.4504078357
72777,FL,Saint Petersburg,Pinellas County,297604.9270551861
92510,TX,Los Fresnos,Cameron County,173516.68732001004
65690,PA,Broomall,Delaware County,510946.2480017144
71638,GA,Albany,Dougherty County,220315.95382441112
92068,TX,Nederland,Jefferson County,191048.6253747364
85240,IL,Mattoon,Coles County,102445.12122569158
74551,TN,Knoxville,Knox County,230157.90855231337
96222,CA,Los Angeles,Los Angeles County,1003386.0915402188
95297,NM,Albuquerque,Bernalillo County,224763.09414140446
72892,FL,Davenport,Polk County,380540.29108660884
96171,CA,Whittier,Los Angeles County,838364.7954359367
90233,OK,Claremore,Rogers County,271980.1169308655
70308,SC,Newberry,Newberry County,166758.0594856035
76575,OH,Columbus,Franklin County,250846.02125588214
61218,NJ,Parlin,Middlesex County,480914.99689699896
73555,AL,Florence,Lauderdale County,217447.17744603383
89955,OK,Midwest City,Oklahoma County,204371.67604765028
86967,MO,Republic,Greene County,247445.38613302636
89383,AR,North Little Rock,Pulaski County,232613.91213490182
65915,PA,Blue Bell,Montgomery County,626033.5776327173
90049,OK,Altus,Jackson County,96494.44137044357
91894,TX,Conroe,Montgomery County,421768.6777957275
70796,GA,Alpharetta,Fulton County,710044.1922812043
91256,TX,Fort Worth,Tarrant County,212971.4082737988
84439,IL,Schaumburg,Cook County,331448.0110543046
77075,OH,Cuyahoga Falls,Summit County,225326.33881487165
61969,NY,Warwick,Orange County,529726.2386104312
85912,MO,Union,Franklin County,236757.71991227902
85854,MO,Wildwood,Saint Louis County,763139.2745991506
69685,NC,Forest City,Rutherford County,172992.58771732097
63475,NY,Buffalo,Erie County,188913.2635936339
63542,NY,Hilton,Monroe County,256463.2967091184
75904,KY,Newport,Campbell County,203453.4094188724
78222,IN,Auburn,De Kalb County,242894.55389689226
85865,MO,De Soto,Jefferson County,202591.9933088913
96289,CA,Pasadena,Los Angeles County,874086.3911836715
79193,MI,Vienna,Genesee County,193105.55606142257
87137,KS,Overland Park,Johnson County,747271.8450038872
76233,KY,Bowling Green,Warren County,340067.34666645504
69360,NC,Angier,Harnett County,322666.6884906453
99768,WA,Silverdale,Kitsap County,561616.3001485823
89959,OK,Oklahoma City,Oklahoma County,196231.3149443163
91160,TX,Nacogdoches,Nacogdoches County,173048.3297341759
78052,IN,Indianapolis,Marion County,351828.66836220707
97473,CA,Salinas,Monterey County,1150117.7242152973
72804,FL,Clearwater,Pinellas County,365252.6208234071
67478,VA,Ashland,Hanover County,392669.81863620674
93300,CO,Denver,Denver County,643389.3912
91073,TX,Lindale,Smith County,303798.1844045908
73726,AL,Prattville,Autauga County,252046.13107899323
